FIRST_NAME,JERSEY_NUM,LAST_NAME,OFFICIAL_ID,GAMECODE,GAME_ID,GAME_DATE
Zach,15  ,Zarba,2534,20151027/DETATL,0021500001,"TUESDAY, OCTOBER 27, 2015"
Michael,38  ,Smith,1193,20151027/DETATL,0021500001,"TUESDAY, OCTOBER 27, 2015"
Eli,44  ,Roe,2532,20151027/DETATL,0021500001,"TUESDAY, OCTOBER 27, 2015"
Scott,48  ,Foster,1162,20151027/CLECHI,0021500002,"TUESDAY, OCTOBER 27, 2015"
Mark,56  ,Ayotte,2148,20151027/CLECHI,0021500002,"TUESDAY, OCTOBER 27, 2015"
Ben,46  ,Taylor,202049,20151027/CLECHI,0021500002,"TUESDAY, OCTOBER 27, 2015"
James,19  ,Capers,1148,20151027/NOPGSW,0021500003,"TUESDAY, OCTOBER 27, 2015"
Derrick,11  ,Collins,2002,20151027/NOPGSW,0021500003,"TUESDAY, OCTOBER 27, 2015"
Scott,52  ,Twardoski,202053,20151027/NOPGSW,0021500003,"TUESDAY, OCTOBER 27, 2015"
Jason,23  ,Phillips,2001,20151028/WASORL,0021500004,"WEDNESDAY, OCTOBER 28, 2015"
Eric,42  ,Lewis,2715,20151028/WASORL,0021500004,"WEDNESDAY, OCTOBER 28, 2015"
Dedric,21  ,Taylor,203592,20151028/WASORL,0021500004,"WEDNESDAY, OCTOBER 28, 2015"
Zach,15  ,Zarba,2534,20151028/PHIBOS,0021500005,"WEDNESDAY, OCTOBER 28, 2015"
Rodney,71  ,Mott,1179,20151028/PHIBOS,0021500005,"WEDNESDAY, OCTOBER 28, 2015"
Eli,44  ,Roe,2532,20151028/PHIBOS,0021500005,"WEDNESDAY, OCTOBER 28, 2015"
Derrick,9   ,Stafford,1195,20151028/CHIBKN,0021500006,"WEDNESDAY, OCTOBER 28, 2015"
Nick,3   ,Buchert,202007,20151028/CHIBKN,0021500006,"WEDNESDAY, OCTOBER 28, 2015"
Kevin,28  ,Scott,202041,20151028/CHIBKN,0021500006,"WEDNESDAY, OCTOBER 28, 2015"
Joe,17  ,Crawford,1153,20151028/UTADET,0021500007,"WEDNESDAY, OCTOBER 28, 2015"
Scott,31  ,Wall,1198,20151028/UTADET,0021500007,"WEDNESDAY, OCTOBER 28, 2015"
Justin,64  ,Van Duyne,203593,20151028/UTADET,0021500007,"WEDNESDAY, OCTOBER 28, 2015"
Marc,8   ,Davis,1830,20151028/CHAMIA,0021500008,"WEDNESDAY, OCTOBER 28, 2015"
Michael,38  ,Smith,1193,20151028/CHAMIA,0021500008,"WEDNESDAY, OCTOBER 28, 2015"
Karl,77  ,Lane,202026,20151028/CHAMIA,0021500008,"WEDNESDAY, OCTOBER 28, 2015"
Ken,41  ,Mauer,1174,20151028/INDTOR,0021500009,"WEDNESDAY, OCTOBER 28, 2015"
Leroy,20  ,Richardson,1188,20151028/INDTOR,0021500009,"WEDNESDAY, OCTOBER 28, 2015"
Bennie,47  ,Adams,1363,20151028/INDTOR,0021500009,"WEDNESDAY, OCTOBER 28, 2015"
Dan,43  ,Crawford,1152,20151028/DENHOU,0021500010,"WEDNESDAY, OCTOBER 28, 2015"
Brian,45  ,Forte,101283,20151028/DENHOU,0021500010,"WEDNESDAY, OCTOBER 28, 2015"
Brent,70  ,Barnaky,201638,20151028/DENHOU,0021500010,"WEDNESDAY, OCTOBER 28, 2015"
Derek,63  ,Richardson,1204,20151028/CLEMEM,0021500011,"WEDNESDAY, OCTOBER 28, 2015"
John,30  ,Goble,101284,20151028/CLEMEM,0021500011,"WEDNESDAY, OCTOBER 28, 2015"
Kane,5   ,Fitzgerald,201640,20151028/CLEMEM,0021500011,"WEDNESDAY, OCTOBER 28, 2015"
Mike,24  ,Callahan,1147,20151028/NYKMIL,0021500012,"WEDNESDAY, OCTOBER 28, 2015"
Mark,56  ,Ayotte,2148,20151028/NYKMIL,0021500012,"WEDNESDAY, OCTOBER 28, 2015"
Tyler,39  ,Ford,204059,20151028/NYKMIL,0021500012,"WEDNESDAY, OCTOBER 28, 2015"
Monty,13  ,McCutchen,1176,20151028/SASOKC,0021500013,"WEDNESDAY, OCTOBER 28, 2015"
Tony,6   ,Brown,2529,20151028/SASOKC,0021500013,"WEDNESDAY, OCTOBER 28, 2015"
Tre,73  ,Maddox,202027,20151028/SASOKC,0021500013,"WEDNESDAY, OCTOBER 28, 2015"
Tom,49  ,Washington,1199,20151028/DALPHX,0021500014,"WEDNESDAY, OCTOBER 28, 2015"
Derrick,11  ,Collins,2002,20151028/DALPHX,0021500014,"WEDNESDAY, OCTOBER 28, 2015"
Curtis,74  ,Blair,200832,20151028/DALPHX,0021500014,"WEDNESDAY, OCTOBER 28, 2015"
Ron,10  ,Garretson,1164,20151028/NOPPOR,0021500015,"WEDNESDAY, OCTOBER 28, 2015"
David,16  ,Guthrie,2714,20151028/NOPPOR,0021500015,"WEDNESDAY, OCTOBER 28, 2015"
Steve,35  ,Anderson,202000,20151028/NOPPOR,0021500015,"WEDNESDAY, OCTOBER 28, 2015"
Courtney,61  ,Kirkland,2004,20151028/LACSAC,0021500016,"WEDNESDAY, OCTOBER 28, 2015"
Sean,4   ,Wright,2882,20151028/LACSAC,0021500016,"WEDNESDAY, OCTOBER 28, 2015"
Lauren,7   ,Holtkamp,203177,20151028/LACSAC,0021500016,"WEDNESDAY, OCTOBER 28, 2015"
Gary,59  ,Zielinski,1664,20151028/MINLAL,0021500017,"WEDNESDAY, OCTOBER 28, 2015"
Bill,22  ,Spooner,1194,20151028/MINLAL,0021500017,"WEDNESDAY, OCTOBER 28, 2015"
J.T.,72  ,Orr,202037,20151028/MINLAL,0021500017,"WEDNESDAY, OCTOBER 28, 2015"
Scott,48  ,Foster,1162,20151029/MEMIND,0021500018,"THURSDAY, OCTOBER 29, 2015"
Josh,58  ,Tiven,201639,20151029/MEMIND,0021500018,"THURSDAY, OCTOBER 29, 2015"
Ben,46  ,Taylor,202049,20151029/MEMIND,0021500018,"THURSDAY, OCTOBER 29, 2015"
Tony,25  ,Brothers,1146,20151029/ATLNYK,0021500019,"THURSDAY, OCTOBER 29, 2015"
Leon,40  ,Wood,1201,20151029/ATLNYK,0021500019,"THURSDAY, OCTOBER 29, 2015"
James,60  ,Williams,202058,20151029/ATLNYK,0021500019,"THURSDAY, OCTOBER 29, 2015"
James,19  ,Capers,1148,20151029/DALLAC,0021500020,"THURSDAY, OCTOBER 29, 2015"
Sean,33  ,Corbin,1151,20151029/DALLAC,0021500020,"THURSDAY, OCTOBER 29, 2015"
Eric,37  ,Dalen,200833,20151029/DALLAC,0021500020,"THURSDAY, OCTOBER 29, 2015"
Dan,43  ,Crawford,1152,20151030/MIACLE,0021500021,"FRIDAY, OCTOBER 30, 2015"
Rodney,71  ,Mott,1179,20151030/MIACLE,0021500021,"FRIDAY, OCTOBER 30, 2015"
Tre,73  ,Maddox,202027,20151030/MIACLE,0021500021,"FRIDAY, OCTOBER 30, 2015"
Joe,17  ,Crawford,1153,20151030/OKCORL,0021500022,"FRIDAY, OCTOBER 30, 2015"
David,36  ,Jones,1168,20151030/OKCORL,0021500022,"FRIDAY, OCTOBER 30, 2015"
Justin,64  ,Van Duyne,203593,20151030/OKCORL,0021500022,"FRIDAY, OCTOBER 30, 2015"
Ed,14  ,Malloy,2530,20151030/UTAPHI,0021500023,"FRIDAY, OCTOBER 30, 2015"
Mark,29  ,Lindsay,200834,20151030/UTAPHI,0021500023,"FRIDAY, OCTOBER 30, 2015"
Gediminas,50  ,Petraitis,204058,20151030/UTAPHI,0021500023,"FRIDAY, OCTOBER 30, 2015"
Mike,24  ,Callahan,1147,20151030/TORBOS,0021500024,"FRIDAY, OCTOBER 30, 2015"
Eric,42  ,Lewis,2715,20151030/TORBOS,0021500024,"FRIDAY, OCTOBER 30, 2015"
Tyler,39  ,Ford,204059,20151030/TORBOS,0021500024,"FRIDAY, OCTOBER 30, 2015"
Ken,41  ,Mauer,1174,20151030/CHIDET,0021500025,"FRIDAY, OCTOBER 30, 2015"
Bennie,47  ,Adams,1363,20151030/CHIDET,0021500025,"FRIDAY, OCTOBER 30, 2015"
Marat,32  ,Kogut,201245,20151030/CHIDET,0021500025,"FRIDAY, OCTOBER 30, 2015"
Scott,31  ,Wall,1198,20151030/CHAATL,0021500026,"FRIDAY, OCTOBER 30, 2015"
Jason,23  ,Phillips,2001,20151030/CHAATL,0021500026,"FRIDAY, OCTOBER 30, 2015"
Dedric,21  ,Taylor,203592,20151030/CHAATL,0021500026,"FRIDAY, OCTOBER 30, 2015"
Bill,22  ,Spooner,1194,20151030/WASMIL,0021500027,"FRIDAY, OCTOBER 30, 2015"
Pat,26  ,Fraher,2003,20151030/WASMIL,0021500027,"FRIDAY, OCTOBER 30, 2015"
J.T.,72  ,Orr,202037,20151030/WASMIL,0021500027,"FRIDAY, OCTOBER 30, 2015"
Derek,63  ,Richardson,1204,20151030/BKNSAS,0021500028,"FRIDAY, OCTOBER 30, 2015"
Bill,55  ,Kennedy,1662,20151030/BKNSAS,0021500028,"FRIDAY, OCTOBER 30, 2015"
John,30  ,Goble,101284,20151030/BKNSAS,0021500028,"FRIDAY, OCTOBER 30, 2015"
Tom,49  ,Washington,1199,20151030/MINDEN,0021500029,"FRIDAY, OCTOBER 30, 2015"
Derrick,11  ,Collins,2002,20151030/MINDEN,0021500029,"FRIDAY, OCTOBER 30, 2015"
Curtis,74  ,Blair,200832,20151030/MINDEN,0021500029,"FRIDAY, OCTOBER 30, 2015"
Marc,8   ,Davis,1830,20151030/GSWHOU,0021500030,"FRIDAY, OCTOBER 30, 2015"
Michael,38  ,Smith,1193,20151030/GSWHOU,0021500030,"FRIDAY, OCTOBER 30, 2015"
Karl,77  ,Lane,202026,20151030/GSWHOU,0021500030,"FRIDAY, OCTOBER 30, 2015"
Ron,10  ,Garretson,1164,20151030/LALSAC,0021500031,"FRIDAY, OCTOBER 30, 2015"
David,16  ,Guthrie,2714,20151030/LALSAC,0021500031,"FRIDAY, OCTOBER 30, 2015"
Steve,35  ,Anderson,202000,20151030/LALSAC,0021500031,"FRIDAY, OCTOBER 30, 2015"
Courtney,61  ,Kirkland,2004,20151030/PORPHX,0021500032,"FRIDAY, OCTOBER 30, 2015"
Sean,4   ,Wright,2882,20151030/PORPHX,0021500032,"FRIDAY, OCTOBER 30, 2015"
Lauren,7   ,Holtkamp,203177,20151030/PORPHX,0021500032,"FRIDAY, OCTOBER 30, 2015"
Rodney,71  ,Mott,1179,20151031/UTAIND,0021500033,"SATURDAY, OCTOBER 31, 2015"
Derrick,9   ,Stafford,1195,20151031/UTAIND,0021500033,"SATURDAY, OCTOBER 31, 2015"
Kevin,34  ,Cutler,201246,20151031/UTAIND,0021500033,"SATURDAY, OCTOBER 31, 2015"
Gary,59  ,Zielinski,1664,20151031/NYKWAS,0021500034,"SATURDAY, OCTOBER 31, 2015"
Zach,15  ,Zarba,2534,20151031/NYKWAS,0021500034,"SATURDAY, OCTOBER 31, 2015"
Kevin,28  ,Scott,202041,20151031/NYKWAS,0021500034,"SATURDAY, OCTOBER 31, 2015"
Monty,13  ,McCutchen,1176,20151031/GSWNOP,0021500035,"SATURDAY, OCTOBER 31, 2015"
Bill,55  ,Kennedy,1662,20151031/GSWNOP,0021500035,"SATURDAY, OCTOBER 31, 2015"
Mitchell,27  ,Ervin,203591,20151031/GSWNOP,0021500035,"SATURDAY, OCTOBER 31, 2015"
Tony,6   ,Brown,2529,20151031/BKNMEM,0021500036,"SATURDAY, OCTOBER 31, 2015"
Brent,70  ,Barnaky,201638,20151031/BKNMEM,0021500036,"SATURDAY, OCTOBER 31, 2015"
Scott,52  ,Twardoski,202053,20151031/BKNMEM,0021500036,"SATURDAY, OCTOBER 31, 2015"
James,19  ,Capers,1148,20151031/PHXPOR,0021500037,"SATURDAY, OCTOBER 31, 2015"
Sean,33  ,Corbin,1151,20151031/PHXPOR,0021500037,"SATURDAY, OCTOBER 31, 2015"
Eric,37  ,Dalen,200833,20151031/PHXPOR,0021500037,"SATURDAY, OCTOBER 31, 2015"
